id,name
Q140,panthera leo
Q25384,asio otus
Q113999,accipiter henstii
Q127216,haliaeetus leucocephalus
Q148181,echinocereus fendleri
Q148688,mammillaria theresae
Q177856,gyps fulvus
Q191155,glaucidium passerinum
Q199458,chelonia mydas
Q199962,macaca sylvanus
Q207107,cacatua galerita
Q309853,aloe amicorum
Q390328,micronisus gabar
Q543056,aglaeactis pamela
Q603302,phelsuma pasteuri
Q647537,psittaculirostris edwardsii
Q682347,miopithecus talapoin
Q748921,strix occidentalis
Q756643,falco novaeseelandiae
Q790664,poicephalus cryptoxanthus
Q838951,ara rubrogenys
Q852763,varanus prasinus
Q856324,presbytis hosei
Q913765,macaca leonina
Q934542,polytelis swainsonii
Q963383,scotopelia ussheri
Q1049611,amandava formosa
Q1267582,lophotis gindiana
Q1271633,glaucidium sjostedti
Q1280523,echinopsis calochlora
Q1335845,euphorbia geroldii
Q1373906,eulychnia acida
Q1805816,chamaeleo dilepis
Q1839737,distichopora foliacea
Q1946821,oncidium onustum
Q2031464,oroya borchersii
Q2058368,uroplatus ebenaui
Q2303393,lithophaga lithophaga
Q3197244,kinyongia vanheygeni
Q3318531,stylaster alaskanus
Q3332895,porites porites
Q3378680,phelsuma gouldi
Q3665000,ceratozamia alvarezii
Q3936072,flabellum areum
Q3938834,peponocyathus folliculus
Q3940411,stephanocyathus nobilis
Q3940638,dendrophyllia florulenta
Q3944313,astrangia woodsi
Q3944344,acropora arabensis
Q3947939,paracyathus conceptus
Q3953484,stylophora wellsi
Q3955746,trochocyathus decamera
Q4987731,bulbophyllum cruciatum
Q4988019,bulbophyllum fonsflorum
Q4988108,bulbophyllum grandimesense
Q4988281,bulbophyllum keekee
Q4995272,bulbophyllum obliquum
Q4995274,bulbophyllum obovatifolium
Q4995372,bulbophyllum pantoblepharon
Q4995792,bulbophyllum stenophyllum
Q4995943,bulbophyllum trigonidioides
Q4995950,bulbophyllum tripetalum
Q4995975,bulbophyllum umbellatum
Q5219148,dendrobium infundibulum
Q5226931,dendrobium lasioglossum
Q5382803,epidendrum rigidum
Q7194815,eria xanthocheila
Q7316278,restrepia schizosepala
Q10260986,corybas abellianus
Q10267014,disa vasselotii
Q10267023,disa woodii
Q13229581,heteropsammia moretonensis
Q15276216,opuntia paraguayensis
Q15388180,euphorbia lumbricalis
Q15430376,oncidium rodrigoi
Q15431896,anoectochilus insignis
Q15432189,anoectochilus sumatranus
Q15438540,pleurothallis barbata
Q15441899,catasetum decipiens
Q15443194,catasetum pohlianum
Q15450860,dichaea oerstedii
Q15459486,dendrobium lancilobum
Q15463427,dendrobium wenzelii
Q15465948,tainia trinervis
Q15467124,encyclia pollardiana
Q15469321,lycaste smeeana
Q15470393,trichopilia punctata
Q15472148,microsaccus affinis
Q15482749,peristylus hallieri
Q15488681,lepanthes eros
Q15490501,promenaea paranaensis
Q15491868,benthamia catatiana
Q15495960,ceratostylis puncticulata
Q15496267,masdevallia josei
Q15501033,chamaeangis vesicata
Q15501556,oncidium endocharis
Q17328982,polystachya rydingii
Q21299994,oncidium oestlundianum
Q28816573,oberonia longirepens
Q92160220,stelis nexosa
Q4504,varanus komodoensis
Q19537,pan paniscus
Q41165,naja kaouthia
Q126167,gypaetus barbatus
Q178604,morelia tracyae
Q244239,nycticebus pygmaeus
Q259914,chlorostilbon olivaresi
Q307284,colophon whitei
Q510465,anas chlorotis
Q565614,campylopterus hyperythrus
Q591268,corucia zebrata
Q594328,elanus axillaris
Q605673,charmosyna toxopei
Q645799,coeligena torquata
Q724362,cercopithecus diana
Q775485,aratinga aurea
Q862896,accipiter cooperii
Q920157,phigys solitarius
Q958816,pyrrhura viridicata
Q1034965,prioniturus montanus
Q1067631,aquila hastata
Q1206175,aotus lemurinus
